"rank","company_name","score","category","website","address","rating","review_count","email","email_status","phone","whatsapp","contact_name","contact_role","contact_source","why_good_fit","potential_pain","personalization_note","contact_priority"
"13","Instalaciones Navarro Hermanos S.L.","83.2","Empresa de calefacción","http://www.instalacionesnavarrohnos.es/","Carrer de Peníscola, 25, bajo derecha, Rascaña, 46019 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","51","contacto@instalacionesnavarrohnos.es","verified_public_email","963 663 909 / 686 469 722","no encontrado publicamente","Helios Navarro y Manuel Navarro","Segunda generación al frente de la empresa (fundada por Pedro y Jose Navarro en 1975), según la pagina 'Nosotros' de su web","https://instalacionesnavarrohnos.es/contacto/ ; https://instalacionesnavarrohnos.es/nosotros/","51 reseñas y 50 años de historia (fundada en 1975). S.L. especializada en suelo radiante, aerotermia, calefacción, solar, fontanería y tratamiento de aguas. Su blog documenta trabajos en hostelería: cartera B2B real.","Horario partido 8-14 y 16-20 más sábados por la mañana: mucha franja abierta pero con huecos, y un negocio de instalaciones de ticket alto donde perder una consulta de aerotermia cuesta miles de euros.","Empresa familiar fundada en 1975, hoy en segunda generación con dos responsables identificados por nombre (Helios y Manuel Navarro): permite un acercamiento personal y no generico. Ticket alto (suelo radiante, aerotermia) y trabajos documentados en hostelería. Email corporativo verificado en su propia web.","B"
"14","Artic Refrigeració - Cámaras frigoríficas y aire acondicionado","83.0","Empresa de climatización","https://articrefrigeracio.es/","C/ de Llorenç Salom, 5, Jesús, 46007 València, Valencia, España","4,9 (agregado publicado en su propia web sobre 79 resenas)","81","info@articrefrigeracio.es","verified_public_email","+34 622 505 356","no encontrado publicamente","no encontrado","no encontrado","https://articrefrigeracio.es/ ; https://www.paginasamarillas.es/f/valencia/artic-refrigeracio-camaras-frigorificas-y-aire-acondicionado_235226768_000000001.html","81 reseñas y el perfil más claramente B2B del listado: cámaras frigoríficas y aire acondicionado para hostelería, panificadoras y alimentación. Publican ofertas de empleo, señal de equipo en crecimiento.","En cámaras frigoríficas una avería es pérdida de mercancia: el cliente llama con urgencia y, si no responden en minutos, llama al siguiente. Cierran a las 18:00 y no atienden fines de semana, cuando la hostelería más opera.","El caso B2B más potente del listado: cámaras frigoríficas para hostelería y alimentación, donde una avería no atendida significa pérdida de género. Cierran a las 18:00 y fines de semana, justo cuando los bares y restaurantes están abiertos. Además publican ofertas de empleo (equipo creciendo) y muestran 4,9/5 sobre 79 reseñas.","B"
"15","stA+ Servicio Técnico de Electrodomésticos y Aire Acondicionado","82.6","Servicio de reparación de aire acondicionado","https://serviciotecnico-aplus.com/","Carrer de Santa Cruz de la Zarza, Algirós, 46021 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","124","no encontrado","no_email_found","624 274 900","624 274 900 (aceptan WhatsApp, declarado en su web)","no encontrado","no encontrado","https://serviciotecnico-aplus.com/ ; https://serviciotecnico-aplus.com/servicio-tecnico-multimarca-electrodomesticos-aire-acondicionado/","124 reseñas. Servicio técnico multimarca independiente con unidades técnicas propias en Valencia, Madrid y Mallorca: estructura operativa real de varias ciudades.","En Valencia solo atienden de 8:00 a 14:00 (en Madrid y Mallorca hasta las 20:00). Media jornada de llamadas de Valencia queda sin cubrir mientras las otras plazas si atienden.","Operan Valencia, Madrid y Mallorca, pero en Valencia solo atienden de 8:00 a 14:00 frente a las 20:00 de las otras plazas. Argumento comercial listo: 'Valencia pierde media jornada de llamadas respecto a vuestras otras delegaciones'. Ya usan WhatsApp como canal.","B"
"16","Reparacion de Aire Acondicionado Valencia-DAVOFRIO","82.5","Servicio de reparación de aire acondicionado","https://www.davofrio.com/valencia/","Av. de les Corts Valencianes, 58, Pobles de l'Oest, 46035 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","45","info@davofrio.com","verified_public_email","960 002 033","673 549 318","no encontrado","no encontrado","https://www.davofrio.com/contacto/ ; https://www.davofrio.com/climatizacion/aire-acondicionado/reparacion-valencia/","45 reseñas en la ficha de Valencia pero estructura de ingeniería de climatización HVAC con sedes en Valencia, Alicante y Murcia. Instalación, mantenimiento preventivo y correctivo.","Tres provincias con una sola marca: los leads entran mezclados y hay que enrutar cada uno a la delegación correcta antes de poder atenderlo.","Ingeniería de climatización HVAC con delegaciones en Valencia, Alicante y Murcia y web multiidioma. Ya tienen email y WhatsApp públicos: entienden la captación digital. El gancho es el enrutado automático de leads por provincia y la cualificación previa de proyectos.","B"
"17","Naper Climatización","81.6","Contratista de aire acondicionado","https://naper.pro/","C. de Crevillent, 6, Algirós, 46022 València, Valencia, España","4,8 (declarado en su propia web)","105","napersc@gmail.com","verified_public_email","651 564 805","no encontrado publicamente","no encontrado","no encontrado","https://www.naper.pro/contacto/ ; https://www.valenciaenamora.com/aire-acondicionado-naper-climatizacion-de-valencia/","105 reseñas y más de 1.000 clientes declarados en Valencia. Instalación, reparación y mantenimiento de aire acondicionado y aerotermia. Web propia con pagina de servicios segmentada por tipo de cliente.","Más de 1.000 clientes con horario 8:00-19:00 y sin fines de semana. Una cartera de ese tamano genera un flujo constante de mantenimientos y averías que hay que agendar manualmente.","Declaran más de 1.000 clientes en Valencia y 4,8/5. Una base instalada así genera un flujo continuo de llamadas de mantenimiento y avería que hoy se agendan a mano. Segmentan su web por tipo de cliente (particulares/empresas), así que entienden la diferencia de valor entre leads.","B"
"18","Mairo Valenciana de Climatización","80.8","Contratista de aire acondicionado","http://www.mairoclimatizacion.com/","Carrer de l'Escultor Garcia Mas, 8, bajo, Campanar, 46015 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","109","mairo@mairoclimatizacion.com","verified_public_email","963 403 352","no encontrado publicamente","no encontrado","no encontrado","https://www.cylex.es/valencia/mairo-valenciana-de-climatizacion-s-a--11159073.html ; https://es.kompass.com/c/mairo-valenciana-de-climatizacion/es1301775/ ; https://empresite.eleconomista.es/MAIRO-VALENCIANA-CLIMATACION.html","109 reseñas. Es una SOCIEDAD ANONIMA (CIF A46222360), figura jurídica poco habitual en el sector y señal de una estructura mayor y más antigua que la media del listado. CNAE 4322: fontanería, calefacción y aire acondicionado.","Estructura de S.A. con volumen de obra: el teléfono mezcla clientes finales, proveedores y obra nueva sin ningún filtro previo.","Una de las dos unicas SOCIEDADES ANONIMAS del listado (CIF A46222360): estructura más grande y antigua que la PYME típica del sector, con capacidad presupuestaria real para un servicio de 300-500 EUR/mes. 109 reseñas. Email corporativo en dominio propio.","B"
"19","Aircoval","79.2","Contratista de aire acondicionado","https://www.aircovalvalencia.es/","C/ del Duc de Gaeta, 56, Camins al Grau, 46022 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","84","info@aircovalvalencia.es","verified_public_email","961 133 997 / 640 824 607 / 640 016 370","no encontrado publicamente","no encontrado","no encontrado","https://aircovalvalencia.es/ ; https://www.paginasamarillas.es/f/valencia/aircoval_225677624_000000001.html ; https://www.cylex.es/valencia/aircoval-12869951.html","84 reseñas y más de 20 años declarados. Instalación, mantenimiento y reparación. Tienen incluso una pagina dedicada a 'empresas de aire acondicionado en Valencia': trabajan el posicionamiento activamente.","Publican TRES números de teléfono y un horario partido muy fragmentado (10-14 y 16:30-19, viernes solo mañana). Un cliente que llame un viernes por la tarde no encuentra a nadie en ninguna de las tres líneas.","Tres líneas telefónicas publicadas y horario partido muy fragmentado (viernes solo mañana). Ese patrón -múltiples números + horario roto- es la señal clasica de llamadas que se escapan. Invierten en SEO propio, así que ya pagan por generar leads que después no siempre pueden atender.","B"
"20","Midasat Clima.","78.7","Servicio de reparación de aire acondicionado","http://www.midasatclima.com/","Carrer de Molina del Palau, 26, bajo, Quatre Carreres, 46013 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","55","info@midasatclima.com","verified_public_email","963 953 470 / 671 942 415","no encontrado publicamente","no encontrado","no encontrado","https://www.midasatclima.com/contacto.php ; https://www.midasatclima.com/servicios.html ; https://empresite.eleconomista.es/MIDASAT-CLIMA.html","55 reseñas. S.L. que es servicio técnico OFICIAL de cuatro marcas a la vez (Immergas, Viessmann, Bronpi, Lasian) para Valencia y provincia: flujo garantizado de avisos derivados. Gas, calefacción, aire acondicionado y solar.","Cuatro contratos de SAT oficial concentran mucho aviso entrante con SLA de respuesta. Cierran los viernes a las 15:00 y no atienden tardes de viernes ni fines de semana.","Servicio técnico OFICIAL de cuatro fabricantes (Immergas, Viessmann, Bronpi, Lasian) para Valencia y provincia: el volumen de avisos derivados no depende de su marketing, entra solo. Cierran viernes a las 15:00. Encaje muy claro con registro y agendado automático de avisos.","B"
"21","ElectroClima Valencia","77.4","Empresa de climatización","https://electroclimavalencia.es/","Carrer de Borrull, 4, Extramurs, 46008 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","120","no encontrado","no_email_found","960 737 007 / 639 690 753","no encontrado publicamente","no encontrado","no encontrado","https://electroclimavalencia.es/ ; https://www.electro-clima.es/contactar-electroclima.html","120 reseñas. Suministro e instalación de climatización de todas las gamas y marcas, con cobertura de toda la provincia de Valencia.","Atención 9:00-17:00 de lunes a viernes: la franja de tarde-noche, cuando el particular llama al volver del trabajo, queda descubierta.","120 reseñas con atención declarada solo de 9:00 a 17:00 L-V. El particular que descubre que su aire no enfria llama al llegar a casa, entre las 18:00 y las 22:00, justo cuando no hay nadie. Publican dos líneas (fijo y móvil) pero ningún email: la entrada es 100% telefónica.","B"
"22","Antonio Grimaldos S.L.","75.9","Contratista de aire acondicionado","http://grimaldosclimatizacion.es/","C/ de Montitxelvo, 13, Quatre Carreres, 46006 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","41","info@grimaldosclimatizacion.com","possible_email","963 950 794","no encontrado publicamente","no encontrado","no encontrado","https://www.paginasamarillas.es/f/valencia/antonio-grimaldos-s-l-_018633123_000000001.html ; https://www.grimaldosclimatizacion.com/ ; https://www.cylex.es/valencia/antonio-grimaldos-s-l--11254003.html","41 reseñas. S.L. con larga trayectoria que cubre las tres patas del ICP: instalación, reparación y mantenimiento de climatización, calefacción y ACS. Además es SAT de marca (Saivod, solo aire acondicionado).","Ser servicio técnico de marca genera avisos derivados con obligación de respuesta rápida; la ficha telefónica aparece incluso en webs de identificación de llamadas, señal de alto volumen de trafico telefónico.","Cubre instalación + reparación + mantenimiento (el triple perfil que mejor encaja) y además es SAT de marca. AVISO: en Google Maps figura grimaldosclimatizacion.es pero la web localizada es el .com; se han encontrado dos emails distintos (info@grimaldosclimatizacion.com y agv@metha.es) -> confirmar cuál está operativo.","C"
"23","Servicio Técnico Mitsubishi Valencia - G&E","75.6","Servicio de reparación de aire acondicionado","https://serviciodereparacion.es/servicio-tecnico-mitsubishi-electric-valencia/","Carrer de Joaquín Benlloch, 65, bajo, Quatre Carreres, 46026 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","54","no encontrado","no_email_found","963 125 526","no encontrado publicamente","no encontrado","no encontrado","https://serviciodereparacion.es/servicio-tecnico-mitsubishi-electric-valencia/ ; https://www.cylex.es/valencia/servicio-t%C3%A9cnico-mitsubishi-valencia---g-e-14501600.html","54 reseñas. Servicio técnico especializado en Mitsubishi Electric, marca premium de climatización: cliente final con equipos caros y expectativa alta de servicio.","Se posicionan sobre una marca premium pero el único canal de contacto público es el teléfono, sin email ni formulario visible. Toda la captación depende de que alguien descuelgue entre las 8:00 y las 18:00.","Especialistas en una sola marca premium (Mitsubishi Electric): clientes con equipos de alto valor y poca tolerancia a esperar. No publican ningún email, solo teléfono: el 100% de sus leads depende de descolgar. Argumento directo sobre llamadas perdidas.","C"
"24","Novofrio SL","75.2","Contratista de aire acondicionado","http://www.novofrio.com/","C. del Palleter, 89, Extramurs, 46008 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","11","instalaciones@novofrio.com","verified_public_email","963 910 001","no encontrado publicamente","no encontrado","no encontrado","https://novofrio.com/contacto/ ; https://www.aefyt.es/index.php/directorio-de-empresas/34-novofrio-sl ; https://empresite.eleconomista.es/NOVOFRIO.html","Pocas reseñas (11) pero S.L. con perfil industrial solido: instalaciones y mantenimiento de frio y climatización, y miembro del directorio de AEFYT (asociación sectorial de frio y tecnologia). Cliente típico B2B con contratos de mantenimiento.","Negocio de contratos de mantenimiento industrial donde los avisos entran por teléfono en horario 8-17 y cada parada de equipo tiene coste directo para el cliente.","Perfil B2B industrial (frio y climatización) y miembro de AEFYT, la asociación sectorial. Pocas reseñas de Google porque su cliente es empresa, no particular: no penalizar por ello. El valor aquí está en la gestión de avisos de mantenimiento con contrato, no en captación de leads nuevos.","C"
"25","CLIMA SOLUCIONES VALENCIA S.L","74.8","Empresa de climatización","https://climasolucionesvalencia.com/","C/ de la Fonteta de Sant Lluís, 45, bajo, Quatre Carreres, 46006 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","34","sergiogassomota@gmail.com","possible_email","611 078 013","no encontrado publicamente","Sergio Gasso Mota","Posible administrador (inferido del registro empresarial; SIN VERIFICAR)","https://climasolucionesvalencia.com/contacto/ ; https://empresite.eleconomista.es/CLIMA-SOLUCIONES-VALENCIA.html","34 reseñas. S.L. constituida que combina distribución y venta con instalación, reparación, mantenimiento y montaje de instalaciones térmicas: ventilación, aire acondicionado, calderas y calentadores.","Estructura pequeña con un único móvil de contacto: cuando el responsable está instalando, no hay nadie atendiendo la línea comercial.","S.L. con actividad de instalación y mantenimiento termico además de venta. El único contacto localizado es un móvil y un email personal: señal de que la atención depende de una sola persona. OJO: el nombre y cargo proceden de un registro empresarial y NO están verificados; confirmar antes de personalizar.","C"
"26","CLIMAVITA - Soluciones de climatización","74.4","Empresa de climatización","https://www.climavita.es/","Extramurs, 46001 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","27","info@climavita.es","verified_public_email","614 325 787","no encontrado publicamente","no encontrado","no encontrado","https://climavita.es/ ; https://cys-climavita.com/","27 reseñas. Climatización y aerotermia para viviendas, con web propia orientada a soluciones y proyecto a medida. Ticket medio alto por el peso de la aerotermia.","Negocio de proyectos de aerotermia con un único móvil publicado: cada consulta perdida es un proyecto de varios miles de euros, no una reparación de 80 EUR.","Especializados en aerotermia para vivienda: pocos leads pero de valor muy alto, lo que hace que perder uno duela mucho más que en reparación. Un único móvil de contacto y email propio verificado. Buen candidato para hablar de ROI por lead recuperado, no por volumen.","C"
"27","Climalem","74.3","Empresa de climatización","http://www.climalem.es/","plaza peatonal (Atencion al público con cita previa, Carrer de Salabert, 34, Patraix, 46018 València, Valencia, España","no disponible (el CSV de Google Maps no incluye rating)","52","info@climalem.es","verified_public_email","963 858 895 / 695 666 438","no encontrado publicamente","no encontrado","no encontrado","https://climalem.es/ ; https://www.paginasamarillas.es/f/valencia/climalem_235165719_000000001.html ; https://empresite.eleconomista.es/CLIMALEM.html","52 reseñas. Venta e instalación de climatización con sede en Valencia y operación declarada en prácticamente todo el territorio nacional. Técnicos con 24+ años de experiencia. Abren sábados de 9 a 14.","Atienden solo con cita previa según su propia ficha de Google, y operan a nivel nacional desde una sede: filtrar y agendar correctamente cada consulta es critico para no desplazar técnicos en balde.","Su ficha de Google indica expresamente 'atención al público con cita previa': todo su modelo depende de agendar bien. Operan desde Valencia a nivel nacional y abren sábados. La agenda automática de citas es aquí el argumento central, más que las llamadas perdidas.","C"
