"categoryName","website","title","emails","phones","address","reviewsCount","placeId"
"Contratista de aire acondicionado",,"Climatizacion Proair S.L.",,,"Camí Barranquet, 23, BAJO, 46133 Meliana, Valencia, España","3","ChIJWwtYWllGYA0RTshylV7melo"
"Contratista de aire acondicionado","http://www.mairoclimatizacion.com/","Mairo Valenciana de Climatización",,,"Carrer de l'Escultor Garcia Mas, 8, bajo, Campanar, 46015 València, Valencia, España","109","ChIJ280oc2JPYA0RKh072vVyBBA"
"Servicio de reparación de aire acondicionado","http://www.layre.es/","Layre",,,"Carrer de Motilla del Palancar, 4, bajo, Rascaña, 46019 València, Valencia, España","212","ChIJvUdG3ANGYA0R6hVoYsLIKRE"
"Empresa de climatización","https://repuestosaireacondicionado.es/","REPUESTOS AIRE ACONDICIONADO",,,,"46","ChIJk90k3wwI0AER8qgUIkaFI6A"
"Empresa de climatización",,"CLIMA SOLUCIONES 24 HORAS",,,"C/ d'en Borràs, 20, Ciutat Vella, 46003 València, Valencia, España","8","ChIJ9wjdnqJPYA0Ryxv5XIn9mtU"
"Empresa de climatización","https://www.aeroclimapro.es/","AEROTERMIA y PLACAS SOLARES Flavio Severini",,,"C/ del Pare Tena, 3, La Saïdia, 46009 València, Valencia, España","194","ChIJF-IhIv5JYA0RAVNTJTiQno4"
"Empresa de climatización","https://valenciaaerotermia.es/","AV Aerotermia Valencia | Instaladores",,,"Carrer dels Drets, 5, Ciutat Vella, 46001 València, Valencia, España","3","ChIJxYugYcBPYA0R5IlORvnxhAA"
"Contratista de aire acondicionado","https://refrivalencia.com/","RefriValencia",,,"Carrer d'Emili Baró, 45, Bajo izquierdo, Benimaclet, 46020 València, Valencia, España","46","ChIJtxvGx0BHYA0RnEjmxqQG-G0"
"Servicio de reparación de aire acondicionado","https://sites.google.com/view/artic-tech-solutions/p%C3%A1gina-principal","ArticTech Soluciones",,,"C. de Carolina Álvarez, 24, Piso 3, Camins al Grau, 46023 València, Valencia, España","14","ChIJtxF-uHlJYA0RgA9Pz7Z9KHc"
"Servicio de reparación de aire acondicionado","http://www.serviciotecnicodevalencia.es/","Climelgas Servicio Técnico de Valencia",,,"C/ de Molinell, 16, Bajo Izquierdo, La Zaidía, 46010 València, Valencia, España","95","ChIJGe-hBahIYA0RkbC7QkXPpRI"
"Servicio de reparación de aire acondicionado","https://serviciotecnico-aplus.com/","stA+ Servicio Técnico de Electrodomésticos y Aire Acondicionado",,,"Carrer de Santa Cruz de la Zarza, Algirós, 46021 València, Valencia, España","124","ChIJAbrxJCmkrUARRKDgKUGJuSg"
"Servicio de reparación de aire acondicionado","https://www.tuserviciotecnico.net/","Tu Servicio Técnico",,,"Gran Via del Marqués del Túria, 49, 1º-1ª, Ensanche, 46005 València, Valencia, España","56","ChIJr9mc7Kj3n4URn1EdzIbrNEs"
"Empresa de climatización","https://climafont-foundation.lovable.app/","Climafont",,,"Av. de Blasco Ibáñez, 102, Algirós, 46021 València, Valencia, España","3","ChIJef9l2vVJYA0RaeAlyMmumpY"
"Empresa de climatización",,"Julian climatizacion",,,"C/ de Bailèn, 22, Extramurs, 46007 València, Valencia, España","9","ChIJJYat1eOZ10gRXEWr9ZzAhtU"
"Contratista de aire acondicionado","http://www.frigusair.com/","Frigus Air S L",,,"Cami Cases de Barcena, 43, 46131 Les Cases de Bàrcena, Valencia, España","7","ChIJSy79M_tFYA0RqXEyogoDARo"
"Servicio de reparación de aire acondicionado","http://estracfrigus.es/","Estracfrigus S L",,,"Cami Cases de Barcena, 43, 46131 Les Cases de Bàrcena, Valencia, España","52","ChIJEb4rKPtFYA0RWXg2-J-WYUU"
"Contratista de aire acondicionado",,"PILSAR CLIMATIZACIÓN, S.L.",,,"Carrer d'Aiora, 30, bj, Patraix, 46018 València, Valencia, España","20","ChIJLZ-8QkBPYA0R-gHGVNnMDI8"
"Empresa de climatización","http://www.climargas.es/","Climargas",,,"Carrer d'Anna, 9, BAJO, Rascaña, 46019 València, Valencia, España","125","ChIJz1pc4QdGYA0RAMMq90OL-_w"
"Empresa de climatización","https://sites.google.com/view/elclima-expertos-climatizacion","El Clima | Expertos en Climatización",,,"Av. del Dr. Peset Aleixandre, 71, Puerta 11, La Zaidía, 46009 València, Valencia, España","14","ChIJvWe7X_pFYA0RK_jg1n0Y-B8"
"Empresa de climatización","https://electroclimavalencia.es/","ElectroClima Valencia",,,"Carrer de Borrull, 4, Extramurs, 46008 València, Valencia, España","120","ChIJ_7KNtbhPYA0RG6VnQJI7MHE"
"Asociación u organización",,"Asociación Valenciana de Instaladores y Mantenedores de Climatización y Frio",,,"Av. de Blasco Ibáñez, 127, Algirós, 46022 València, España","2","ChIJUfuc2I5IYA0RudIfLipFKhc"
"Servicio de reparación de aire acondicionado","https://www.davofrio.com/valencia/","Reparacion de Aire Acondicionado Valencia-DAVOFRIO",,,"Av. de les Corts Valencianes, 58, Pobles de l'Oest, 46035 València, Valencia, España","45","ChIJIxLGCzFFYA0R-X4-ZJJdQMU"
"Servicio de reparación de aire acondicionado","https://www.serviciotecnicosvalencia.com/","Servicio Tecnicos Valencia",,,,"1","ChIJxRLNFHPProcRRb8tuy9e7eU"
"Empresa de climatización","https://climatron.net/","Climatron - Aire Acondicionado Valencia",,,"Carrer de Ciscar, 16, L'Eixample, 46005 València, Valencia, España","41","ChIJs5l6CEBJYA0Rmf14KFcxgb4"
"Servicio de reparación de electrodomésticos",,"SC ELEKTRONIK",,,,,"ChIJ74Yo4doD0aoRDvUYfLXUYMg"
"Tienda aire acondicionado",,"Energía Martín, S.L.",,,"C. de Joaquim Ballester, 5, Campanar, 46009 València, Valencia, España","122","ChIJ9-QbaVhPYA0Rm6ZSCLc_xT8"
"Contratista de aire acondicionado",,"Aires Shalom",,,"C/ d'Hipòlit Rovira, 12, Campanar, 46009 València, Valencia, España",,"ChIJ57m4mNFFYA0RTKNfD3RvJjU"
"Contratista de aire acondicionado",,"Grupo Koal",,,"Av.de la Malva-Rosa, 112, Poblats Marítims, 46011 València, Valencia, España","105","ChIJX8V8iyhJYA0RuPAhRRB7_Fo"
"Contratista de aire acondicionado","https://hvacspareparts.com/es","AACORE supply - Cámaras de Refrigeración y Equipos de Frío",,,"C/ de Vinaròs, 24, bajo local, Rascaña, 46020 València, Valencia, España","61","ChIJk7jUeBFPYA0REadf2RTQlOE"
"Empresa de climatización","https://www.ecoclimanova.com/","Ecoclimanova",,,,"20","ChIJYVB4CPV1FWcRSYfqzbBsH1s"
"Contratista de aire acondicionado",,"Grados Ingeniería y Climatización",,,"Bajo, Carrer del Poeta Altet, 3, Benimaclet, 46020 València, Valencia, España","24","ChIJu4_NlWNIYA0RbdhQwAQhUbw"
"Contratista de aire acondicionado","http://www.novofrio.com/","Novofrio SL",,,"C. del Palleter, 89, Extramurs, 46008 València, Valencia, España","11","ChIJcTR5t0RPYA0RydISRk7r770"
"Empresa de climatización","https://www.comont.es/","Comont Climatización",,,"C/ de Gayano Lluch, 29, Rascanya, 46025 València, Valencia, España","8","ChIJ48KiqvpFYA0RLPAGlB3JMPU"
"Empresa de climatización","http://www.rolafri.com/","ROLAFRI S.L.",,,"C/ de Màlaga, 13, La Saïdia, 46009 València, Valencia, España","13","ChIJGQklDFZPYA0RwTnZudwXXJw"
"Empresa de climatización",,"Temperia",,,"C/ de Masquefa, 68, Pta 1, Benimaclet, 46020 València, Valencia, España","9","ChIJZYcd5BhGYA0Rf2V4fwwEr5Y"
"Contratista de aire acondicionado","https://www.cerveraclima.com/","Rafael Cervera Climatización",,,"Pl. del Poeta Salvador Rueda, 6, Campanar, 46009 València, Valencia, España","3","ChIJAf6MJYJFYA0R_iFOdGLFHEI"
"Servicio de reparación de aire acondicionado",,"electroclima",,,"Carrer de Sant Vicent de Paül, 20, Rascanya, 46019 València, Valencia, España","3","ChIJvQXkDgRGYA0RPzo58FHwbGA"
"Contratista de aire acondicionado","http://www.airtec-ins.com/","Airtec",,,"Carrer de Marcel·lí Giner, 23, Benimaclet, 46020 València, Valencia, España","2","ChIJTZmo_59IYA0Ra4xJF3YMr7E"
"Empresa de climatización","https://clicreparacion.com/valencia/","Clic Reparación",,,"Carrer d'Azcárraga, 24, Extramurs, 46008 València, Valencia, España","6","ChIJ4xaKV3ZPYA0RK0VJz20c51w"
"Servicio de reparación de aire acondicionado","https://tecnicosvalencia.es/","Técnicos Fernando Valencia",,,"C/ del Riu Nervión, 19, Benicalap, 46025 València, Valencia, España","123","ChIJm3_VRABFYA0RheCrqCVii9w"
"Tienda aire acondicionado",,"Forza Val",,,"C/ del Pintor Matarana, 23, bajo, Benicalap, 46025 València, Valencia, España","7","ChIJCzyt9vJFYA0RSdF-cVvp6KE"
"Contratista de aire acondicionado","http://valfrica.es/","Valenciana De Frío Y Calor",,,"C/ del Clariano, 44, Algirós, 46021 València, Valencia, España","10","ChIJ5-sx1ZtIYA0RZxGzFObeWEE"
"Tienda aire acondicionado",,"Calle del Gigante servicio de acondicionamiento",,,"C/ del Gegant, 15, Ciutat Vella, 46001 València, Valencia, España",,"ChIJCahyVQBPYA0RcmnpMV2PcBQ"
"Contratista de aire acondicionado","https://www.viventia.eu/","Viventia | Servicios Integrales",,,"C/ del Marqués de Montortal, 77, Rascanya, 46019 València, Valencia, España","90","ChIJx1R5M_1FYA0R42yLG-iXtgY"
"Empresa de climatización",,"AIREON VENTA E INSTALACIONES SL",,,"Av. del Primat Reig, 129, Pta D, Benimaclet, 46020 València, Valencia, España",,"ChIJAf4YL0RJYA0RXAcOMVYQ0lk"
"Contratista de aire acondicionado","http://www.fricli.es/","Fricli S L",,,"Avinguda de la Constitució, 12, La Saïdia, 46009 València, Valencia, España","1","ChIJP0aW61VPYA0R19pQ7z18pRs"
"Servicio de reparación de aire acondicionado","https://tecnicoaireacondicionadovalencia.es/","Aire Acondicionado Proman",,,"C. Pintor Benedito, 11, Extramurs, 46007 València, Valencia, España","6","ChIJvfucBy_YK28RvMqGGiXXkjs"
"Oficinas de empresa","https://solclime.net/","SOLCLIME | Soluciones de Climatización y Energía",,,"Carrer del Poeta Monmeneu, 12, La Saïdia, 46009 València, Valencia, España",,"ChIJF1IsY_NPYA0RjIdkr6HOqBQ"
"Contratista de aire acondicionado",,"Climatización Boils S L",,,"C/ de Reus, 16, La Saïdia, 46009 València, Valencia, España","6","ChIJu5-141dPYA0RT2O9A_cMAvw"
"Empresa de climatización","https://www.grupoavalco.com/termat/","Calefacción, Climatización y Energía Solar • Termat",,,"Edificio Trade Center, Carrer del Professor Beltrán Báguena, 4, Ofi 207, Campanar, 46009 València, Valencia, España","3","ChIJi_5UiU5PYA0RouALTDK4IXw"
"Contratista","http://www.iberairvalencia.com/contacto/","Iberair Valencia",,,"C/ Farmacèutic, C. Rafael Company, 10, Benicalap, 46025 València, Valencia, España","14","ChIJ-cuiS5xPYA0RpdsY6DKALDg"
"Instalador de gas",,"INSTALACIONES Y MANTENIMIENTOS TERVAL SL",,,"C/ de Sant Roc, 48, Benicalap, 46015 València, Valencia, España","11","ChIJkSpGPglFYA0R7zJqh0K74IM"
"Empresa de climatización","https://es.wallapop.com/app/catalog/published","Climacoold Aire acondicionado",,,"Pl. de Joan de Vila-rasa, 46001, Extramurs, 46001 València, Valencia, España","1","ChIJZeEbgmtPYA0RyXMEn8BAjl4"
"Empresa de climatización","http://www.optimair.es/","Optimair S L",,,"Plaça del Diputat Lluís Lucía, 17, Campanar, 46015 València, Valencia, España","12","ChIJHwGdOGdPYA0RIL1wE4Q2yhQ"
"Empresa de climatización",,"Electricidad Climastar, S.L.",,,"C. dels Plàtans, 5, Benicalap, 46025 València, Valencia, España","2","ChIJzXG8BvRFYA0RJnxhwXfMmPk"
"Contratista de aire acondicionado",,"AC Climatización Fundada 2005 SL",,,"C. Emili Camps I Gallego, 5, Benicalap, 46025 València, Valencia, España",,"ChIJN71KBpNFYA0Rw_M5OQ7arpY"
"Empresa de climatización",,"IDC ENERGIA",,,"C/ del Pare Palau i Quer, 26, La Saïdia, 46009 València, Valencia, España","10","ChIJ9SBgFTxFYA0RY40mUSOv8PI"
"Empresa de climatización","https://www.ilichclima.com/","Técnico frigorista y climatizacion A.I.A.",,,"C. del Picaio, 4, Benicalap, 46025 València, Valencia, España",,"ChIJgTP3flpFYA0RwZ2b_1VGBqo"
"Contratista de aire acondicionado","http://www.termicavalenciana.es/","Térmica Valenciana",,,"Carrer del Poeta Monmeneu, 12, La Saïdia, 46009 València, Valencia, España","2","ChIJwQmV5lRPYA0R9Bph_Gmk0TM"
"Contratista de aire acondicionado","http://www.pertegas.com/","Pertegás Ventilación",,,"Carrer de la Murta, 26, bajo, Benimaclet, 46020 València, Valencia, España","11","ChIJtfIDAKBIYA0RxmpAHwCQGKY"
"Contratista de aire acondicionado",,"Condairval",,,"C. de Marie Curie (Científica), 6, La Saïdia, 46009 València, Valencia, España",,"ChIJ5aG8gP5FYA0RWueqC6TPmsM"
"Contratista de aire acondicionado","http://www.topclima.com/","Topclima, S.L.",,,"Carrer de Daniel Balaciart, 6, Benimaclet, 46020 València, Valencia, España","3","ChIJ5eYFrphIYA0R0cFfEZLhFKc"
"Taller de reparación de automóviles",,"Electro Aire SL",,,"Av. de Burjassot, 105, Benicalap, 46035 València, Valencia, España","33","ChIJS4TePl5FYA0RH4Lb-VwV-vY"
"Tienda aire acondicionado",,"SEI Energía",,,"Carrer de Soledad Doménech, 18, Benimaclet, 46020 València, Valencia, España","5","ChIJq-wo3YdJYA0RI2aelhfma5w"
"Contratista de aire acondicionado",,"José Manuel Adrián Benavides",,,"Carrer del Metge Ramón Tarazona, 3, Campanar, 46015 València, Valencia, España",,"ChIJO1DmXWJPYA0Rk8D73ypfAW0"
,,"ELECTRICIDAD Y AIRE ACONDICIONADO ELECTROSERGAR",,,"C/ de la Serra d'Agullent, 3, Benicalap, 46015 València, Valencia, España",,"ChIJ_1MMoo1FYA0Rkc768E7L0Dg"
"Empresa de climatización",,"Taller",,,"Carrer de Conchita Piquer, 7, Campanar, 46035 València, Valencia, España","20","ChIJ301EbfVFYA0RFHyQmx9XxMY"
"Alquiler de vacaciones","https://www.holidu.de/d/56542435?ref_source=google_vr&utm_source=google_vr_eb","Apartamento estudio 'Estudio 4 Centro Histrico Valencia' con jardín privado y aire acondicionado",,,"Ciutat Vella, 46003 Valencia, España","13","ChIJgYAJW1FPYA0RXRgCYFoTfLE"
"Departamento","https://www.holidu.de/d/46740070?ref_source=google_vr&utm_source=google_vr_holidu","Apartamento Valencia-living con balcón, aire acondicionado y Wi-Fi",,,"El Llano del Real, 46021 Valencia, España","95","ChIJWcy-eJdIYA0RUhDWLHYxrvU"
"Empresa de climatización","https://reparacioncalderasvalencia.eu/","Reparacion Calderas Valencia",,,"C/ de Pere Cabanes, 83, Rascanya, 46019 València, Valencia, España","4","ChIJvUf1N2BFYA0RnS3C1d1SJjc"
"Empresa de climatización",,"Lumar Electrotecnia",,,"Carrer 9 d'Octubre, 8, 46016 Tavernes Blanques, Valencia, España","1","ChIJOYPtoRJGYA0RNCXyBrH1zis"
"Empresa de climatización",,"Prodetecno Ingeniería Energética, SL",,,"C/ de Cora Raga, 12, bajo, Benicalap, 46025 València, Valencia, España","4","ChIJQeTTWI1FYA0R3SYdDn52ScY"
"Empresa de climatización","http://www.baxi.es/","BAXI - Delegación comercial Sur",,,"Carrer del Professor Beltrán Báguena, 5, Campanar, 46009 València, Valencia, España","11","ChIJzW8i8VtPYA0REK3GcCdEwUc"
"Electricista","https://instalacionesgaujot.es/","Instalaciones Gaujot, S.L.",,,"Carrer d'Almiserà, 5, Benicalap, 46025 València, Valencia, España","3","ChIJhaQ-OvNFYA0R0hlqbqfj7kI"
"Empresa de climatización","https://isertek.es/","ISERTEK SOLUTIONS S.L.",,,"Carrer de Juan Castelló, 2, Bj - Izq, La Zaidía, 46009 València, Valencia, España","3","ChIJRXaiW-RFYA0RQRGLoXfcn_0"
"Empresa de climatización","http://sites.google.com/view/climaoasis/inicio?authuser=1","Clima Oasis",,,"C/ de Miguel Servet, 7, Benicalap, 46015 València, Valencia, España","7","ChIJ5fdGqpxFYA0RjWJOGYqGnoQ"
"Empresa de climatización","https://cointravalencia.com/","SERVICIO TECNICO OFICIAL FERROLI - COINTRA",,,"Av. General Aviles, 23, Campanar, 46015 València, Valencia, España","75","ChIJD15hSPVFYA0RLnVXHooIF3A"
"Empresa de climatización",,"Airestar Valencia",,,"C/ del Lugre, La Saïdia, 46009 València, Valencia, España",,"ChIJP-XYXcdFYA0Rz9hc1nq07xw"
"Empresa de suministros industriales",,"Reparadores de Maquinaria Hostelería",,,"C/ de José Grollo, 13, BAJO, Benicalap, 46025 València, Valencia, España","8","ChIJGyPqJ9ZFYA0R7OcgUAKskNE"
"Servicio de reparación de electrodomésticos",,"Técnico Lavadoras Valencia Haier Hisense Beko",,,"C/ de Barraix, Benicalap, 46015 València, Valencia, España","11","ChIJS63TNv5FYA0RRBybl06l59g"
"Taller mecánico",,"Taller mecanico 24 horas S.N",,,"C. de Carles Cortina, 23, Benicalap, 46025 València, Valencia, España","309","ChIJExlZsANFYA0RPtFPtK1v3Co"
"Servicio de reparación de televisores","https://www.sattecnisan.es//","Tecnisan",,,"Camí de Montcada, 90, Rascanya, 46019 València, Valencia, España","166","ChIJfTe-ZftFYA0R5G5r0lgnbJs"
"Empresa de calefacción","http://www.instalacionesnavarrohnos.es/","Instalaciones Navarro Hermanos S.L.",,,"Carrer de Peníscola, 25, bajo derecha, Rascaña, 46019 València, Valencia, España","51","ChIJ_3S8-wNGYA0R4zX6lFo0n-A"
"Servicio de reparación de aire acondicionado",,"Levantina de Suministros Frigoríficos S.A.L.",,,"C. Arzobispo Fabian i Fuero, 13, La Zaidía, 46009 València, Valencia, España","23","ChIJ-eQ4Q1ZPYA0RFSDTZCH5yls"
"Fontanero","http://www.frigols.com/","Frigols Mantenimiento",,,"Av. de Valladolid, 42, Benimaclet, 46020 València, Valencia, España","6","ChIJMZTqDoNHYA0R0DxAuAgkO60"
"Servicio de reparación de aire acondicionado",,"Servicio Técnico Mitsubishi Electric Daykin",,,"Pl. de la Legió Espanyola, 11, El Pla del Real, 46010 València, Valencia, España","3","ChIJAcVtd69IYA0Rclax7atucMs"
"Contratista de aire acondicionado",,"J.Gramuntell S.L.",,,"Carrer d'Agullent, 9, Benicalap, 46025 València, Valencia, España","8","ChIJdz0M7PNFYA0Rk9OC_gEJZyw"
"Tienda de calderas","http://www.sumartvalencia.com/","SUMART - Calderas, calentadores y aire acondicionado. Instalación incluida",,,"C/ de Guillem de Castro, 113, bajo izquierda , Extramurs, Extramurs, 46008 València, Valencia, España","35","ChIJnZUd9U9PYA0RI1D0gVAM7Zc"
"Departamento","https://br.bluepillow.com/search/65cb85ce3e6d928972f90695?dest=bpex&cat=Apartment&lat=39.47402&lng=-0.37498&language=pt","ApartUP Reina Deluxe. WiFi y Aire acondicionado",,,"Ciutat Vella, 46003 Valencia, España","3","ChIJi2j_NE1PYA0R1k520CyJ4lE"
"Departamento","https://www.holidu.de/d/51085327?ref_source=google_vr&utm_source=google_vr_holidu","Estudio 'Mendoza' con balcón, Wi-Fi y aire acondicionado",,,"Ciutat Vella, 46001 Valencia, España","19","ChIJ4az2ZVJPYA0RU3_ovea9-Ac"
"Tienda aire acondicionado","https://www.euronics.es/tiendas/euronics-bazar-valencia.html?utm_source=G&utm_medium=&utm_campaign=google-local","Euronics Bazar Valencia",,,"Av. del Primat Reig, 26, La Saïdia, 46009 València, Valencia, España","147","ChIJvfIUZAFGYA0RmryRI3iA2fU"
"Empresa de suministros industriales","https://www.romedtec.com/","Romedtec",,,"Avinguda de la Constitució, 216, Rascanya, 46019 València, Valencia, España",,"ChIJVfIMkNhHYA0RDHPjTohBJNY"
"Contratista de aire acondicionado",,"Valfrimatic S.C",,,"C. del N, 24, Extramurs, 46008 València, Valencia, España","2","ChIJqaBFJ11PYA0RXd0SBVzbBfk"
"Tienda aire acondicionado","https://www.milar.es/tiendas/milar-ramon-llosa.html?utm_source=G&utm_medium=&utm_campaign=google-local","Milar Ramón Llosá",,,"Av. de Blasco Ibáñez, 31, El Pla del Real, 46010 València, Valencia, España","147","ChIJJdBdPeVJYA0Rmd3rlMkN1l8"
"Tienda aire acondicionado","https://www.euronics.es/tiendas/euronics-calle-alboraya.html?utm_source=G&utm_medium=&utm_campaign=google-local","Euronics Calle Alboraya",,,"C/ d'Alboraia, 31, La Saïdia, 46010 València, Valencia, España","238","ChIJvUA0SHlJYA0Ra6NebaMgWJo"
"Contratista de aire acondicionado","http://nariaforum.es/","Naria Forum",,,"Carrer de Gil Roger, 6, Campanar, 46009 València, Valencia, España","3","ChIJGcw08fVFYA0R8IJeG0IX3OE"
"Fontanero",,"Fontanería Antonio Cerdán",,,"Carrer de Leandro de Saralegui, 9, Algirós, 46021 València, Valencia, España","153","ChIJF5nOUd9PYA0R2XtznE0MA0Y"
"Servicio de reparación de electrodomésticos","https://www.serviciojunkers.es/","SERVICIO JUNKERS VALENCIA",,,"Passatge Dr. Bartual Moret, 6, El Pla del Real, 46010 València, Valencia, España","47","ChIJuwQ_hKJIYA0RtxPjRLviEG8"
"Fontanero",,"Fonclima Martinez S.L.",,,"D'Enric Navarro, 38, Benimaclet, 46020 València, Valencia, España","9","ChIJFcWDlgRJYA0RIU0-kobp318"
"Proveedor de repuestos de electrodomésticos","https://www.remle.com/es/","REMLE",,,"C/ d'Alboraia, 69, Benimaclet, 46010 València, Valencia, España","199","ChIJ6zS8s5ZIYA0RE2uWwC1uwPM"
"Servicio de reparación de aire acondicionado","http://www.carbealinstalaciones.es/","Carbeal",,,"C/ de Fra Pere Vives, 25, La Saïdia, 46009 València, Valencia, España","6","ChIJU65RMQBGYA0RPvbeifGYJZk"
"Taller de reparación de automóviles","https://ferriemocion.com/","Ferriemoción: Taller Mecánico en Valencia",,,"C/ de Dolores Marqués, 40, 42, Benimaclet, 46020 València, Valencia, España","584","ChIJXdeSqh5GYA0RmIvx0PuEKLU"
"Taller de automóviles",,"Talleres Soriano",,,"C/ del Pare Damià, 6, La Saïdia, 46009 València, Valencia, España","222","ChIJM_aPZPdFYA0RP7QQ_cAjQDk"
"Taller de reparación de automóviles","https://tallermecanicopascualglover.com/","Taller mecánico en Valencia | Pascual Glover S.C.",,,"Carrer dels Poetes Anònims, 2, Benimaclet, 46020 València, Valencia, España","157","ChIJ9dTVf6BHYA0RZQTElyp-gTk"
"Taller de reparación de automóviles",,"Talleres cheema",,,"C/ del Riu Tajo, 26, Poblats Marítims, 46011 València, Valencia, España","5","ChIJg8eyRwBJYA0Ralq5EAch7hw"
"Taller de reparación de automóviles","http://www.sonivac.com/","Sonivac S.L.u",,,"Av. del Primat Reig, 43, Rascanya, 46019 València, Valencia, España","208","ChIJgch4aAFGYA0RT10W0YY3A7E"
"Taller de reparación de automóviles","https://care.grupauto.es/care-center-talleres-ferrer","Talleres Ferrer",,,"C/ de Lepant, 22, Extramurs, 46008 València, Valencia, España","63","ChIJDz-aSd5PYA0RpbTuq04K_VA"
"Taller de reparación de automóviles","https://www.feuvert.es/","Feu Vert",,,"Av. de Manuel de Falla, 13, C.C. Carrefour, Campanar, 46015 València, Valencia, España","1364","ChIJ_WBTcXBPYA0RvenmkOV0EWQ"
"Taller de reparación de automóviles",,"Avtoservice Malvarrosa",,,"Av.de la Malva-Rosa, 117, Poblats Marítims, 46011 València, Valencia, España","64","ChIJL9Jc7TlJYA0RUAsCosZS2Mk"
"Taller de reparación de automóviles","http://www.talleresraf.com/","RAF ️ Taller Excelente PLANCHA • PINTURA • MECÁNICA",,,"Av. del Primat Reig, 39, Rascanya, 46019 València, Valencia, España","117","ChIJ2YkWQwFGYA0R6e1A6OsKnfg"
"Taller de reparación de automóviles",,"TALLERES GRUPO MONTERO | Electromecánica",,,"C/ del Comte de Lumiares, 26, Rascanya, 46019 València, Valencia, España","76","ChIJq6orKAZGYA0RAdc_ykk5Jmk"
"Contratista de aire acondicionado","https://rfcreformas.es/","RFC | Reformas Integrales en Valencia",,,"Carrer de la Ciutat de Mula, 14, Pta 12, El Llano del Real, 46021 València, Valencia, España","19","ChIJl2crzNtJYA0Rc2YGdtfKi2Y"
"Taller de reparación de automóviles","http://www.to-gar.com/","Talleres To-Gar, S.L.",,,"Pl. del Poeta Salvador Rueda, 7, Campanar, 46009 València, Valencia, España","124","ChIJ6ZSXD_ZFYA0RC1IbV3Moh6Y"
"Taller de reparación de automóviles",,"Talleres Ando",,,"Carrer d'Agustín Lara, 11, Rascanya, 46019 València, Valencia, España","18","ChIJPUelWQZGYA0RjlhqZmgriuU"
"Servicio de reparación de aire acondicionado","http://www.autolavadosprimado.es/","TALLER PRIMADO",,,"Carrer de la Guàrdia Civil, Benimaclet, 46020 València, Valencia, España","8","ChIJ5dSTDApJYA0R7se4JBNmdnI"
"Taller de reparación de automóviles","https://anctaller.es/","Bosch Car Service - Automocion Nou Campanar",,,"Eric Valor I Vives, Av. del Mestre Rodrigo, 37, Campanar, 46015 València, Valencia, España","124","ChIJ0_4xd2RPYA0RSZZ9PvnNfPQ"
"Taller de reparación de automóviles",,"TALLER BZ",,,"C/ de Màlaga, 11, La Saïdia, 46009 València, Valencia, España","16","ChIJW7rq2LRPYA0RyzmbzJwf9iA"
"Taller mecánico",,"HELVETIA MOTOR",,,"Plaça del Músic Espí, 11, bajo, Rascaña, 46019 València, Valencia, España","20","ChIJudrPDAhGYA0R94TByctZmgg"
